text,Positive,Negative,Neutral,Compound,Sentiment
uk astrazeneca vaccin less effect uss pfizerbiontech moderna uk govern order insu… ,0.0,0.0,1.0,0.0,Neutral
call conduct research effect clang utensil given corona  covidiots… ,0.0,0.0,1.0,0.0,Neutral
world  popul nation sight amp sound  vaccin seem promis pulsepolio success… ,0.0,0.0,1.0,0.0,Neutral
one million peopl israel receiv first two dose vaccineisrael covid… ,0.0,0.0,1.0,0.0,Neutral
maj gen moham al marri director general general director resid amp foreign affair gdrfa… ,0.0,0.0,1.0,0.0,Neutral
coronavirus israel lead vaccin race  given jab  coronavirus coronavaccin pfizervaccine… ,0.0,0.0,1.0,0.0,Neutral
snowbunt pfizerbiontech astraseneca said plenti vaccin avail next week,0.0,0.0,1.0,0.0,Neutral
“now end even begin end perhap end beginning”… ,0.0,0.0,1.0,0.0,Neutral
 novemb   crook pfizerbiontech alreadi order  glass vaccin nuremberg trial w… ,0.0,0.0,1.0,0.0,Neutral
dr die day take  pfizervaccin pfizerbiontechread report usa today 👇,0.0,0.328,0.672,-0.5994,Negative
cdubesant must respect manufactur prescrib inform base clinic studi could e… ,0.237,0.0,0.763,0.4767,Positive
ps nopethey didnt side effect take vaccinejust bit discomfort inject area… ,0.0,0.219,0.781,-0.4215,Negative
palestinian exclud isra covid vaccin rollout jab go settler  olireport ihazemi guardian… ,0.0,0.0,1.0,0.0,Neutral
 pfizerbiontech  mild arm sore  hour fatigu  hour mild backach  hour peachi thereaft,0.0,0.185,0.815,-0.3612,Negative
similar safeti profil viral vaccin pfizerbiontech pfizer   vaccin,0.0,0.0,1.0,0.0,Neutral
see israel hater attack cri social media whenev see isra achiev success bring joy… ,0.18,0.286,0.534,-0.296,Negative
thank fabul nhs pfizerbiontech got jab today 💪,0.294,0.0,0.706,0.3612,Positive
got first dose modernatx vaccin incred grate scientist colleagu urg take y… ,0.0,0.0,1.0,0.0,Neutral
pfizer also gave side effect yet peopl allerg reaction earlierin case vaccinat… ,0.0,0.0,1.0,0.0,Neutral
massiv protest borisjohnson govern throw scienc play russian… ,0.231,0.192,0.577,0.1027,Positive
¿pfizermx  vaccin vaccin pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
thank scientist 💉🎉  pfizer pfizerbiontech ,0.385,0.0,0.615,0.3612,Positive
margbrennan facethen modernatx pleas amplifi preposter suggest sloaui be… ,0.0,0.0,1.0,0.0,Neutral
jordan struck deal pfizerbiontech buy  million dose  vaccin anoth  milli… ,0.0,0.182,0.818,-0.25,Negative
mikeozfowl martijnoostveen time pleas check understand mani question mark remain abou… ,0.0,0.0,1.0,0.0,Neutral
 day ill second dose pfizerbiontech vaccin,0.0,0.359,0.641,-0.4215,Negative
andrewjohnkidd robertsym nadhimzahawi yeah tell elder person tear confus whether… ,0.196,0.0,0.804,0.296,Positive
ouch vaccinestrategi vaccin pfizervaccin pfizerbiontech pfizercovidvaccin covid ,0.0,0.0,1.0,0.0,Neutral
 vaccin becom avail american less interest get vaccin … ,0.279,0.0,0.721,0.4033,Positive
realist speak effect oxfordvaccin compar pfizerbiontech it less ef… ,0.0,0.0,1.0,0.0,Neutral
israel alreadi inject pfizerbiontech vaccin  percent popul pfizervaccin pfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
 husband pfizerbiontech well extra leg toe finger thank… ,0.231,0.0,0.769,0.2732,Positive
sit hospit wait covid  vaccin im readi pfizerbiontech,0.0,0.0,1.0,0.0,Neutral
use covidvaccin  statement britishima  👌🏾 summari muslim patient the… ,0.0,0.0,1.0,0.0,Neutral
head head covishield vs pfizerbiontech better  vaccin right nowcovishield pfizer… ,0.244,0.0,0.756,0.4404,Positive
day  pfizerbiontech vaccin end arm sore due 💉but noth major day  less… ,0.0,0.185,0.815,-0.3612,Negative
  go pfizerbiontech let fight  ,0.0,0.464,0.536,-0.3818,Negative
polit decis uk could impact world  via youtub uk ireland … ,0.0,0.0,1.0,0.0,Neutral
approv pfizerbiontech vaccineread pfizervaccin pfizer… ,0.0,0.0,1.0,0.0,Neutral
hill decemb   first patient receiv  vaccin get second shot   ,0.0,0.0,1.0,0.0,Neutral
hill decemb   first patient receiv  vaccin get second shot   ,0.0,0.0,1.0,0.0,Neutral
pfizerbiontech world health organ grant first emerg use valid biontechpf ,0.217,0.0,0.783,0.3612,Positive
dont approv pfizerbiontech us uk amp eu alreadi approv amp  efficaci as… ,0.0,0.0,1.0,0.0,Neutral
bob tiffanydov whereistiffanydov biontech pfizer pfizervaccin pfizerbiontech vaccinations… ,0.0,0.0,1.0,0.0,Neutral
  mailonlin well yestheyv claim cold chain infrastructur need the… ,0.208,0.0,0.792,0.2732,Positive
india approv astrazeneca bharat biotech vaccin pfizerbiontech approv follow india  mi… ,0.0,0.0,1.0,0.0,Neutral
 srivatsayb wouldnt storag taken care pfizerbiontech,0.0,0.345,0.655,-0.3875,Negative
wonder rupert murdoch   vaccin pfizerbiontech delay  monthsmarr pfizer nhss… ,0.0,0.223,0.777,-0.3182,Negative
we'v learn thing two process trialanderror one lesson we'v learn extent… ,0.0,0.0,1.0,0.0,Neutral
 individu vaccin far – reportcoronavirusmalta coronavaccin pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
hand thought vaccin made free would onlin publish own ebay h… ,0.419,0.0,0.581,0.7579,Positive
    rihealth rihospit  refer  vaccine… ,0.0,0.0,1.0,0.0,Neutral
strongerstabl hold onto pfizerbiontech suppli vaccin   suppli wait use,0.0,0.0,1.0,0.0,Neutral
favorit streetart youranonnew graffitiart graffart streetphotographi photographi pfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
narendramodi thought russia sputnikv sinc sep  still  case stillwil… ,0.0,0.0,1.0,0.0,Neutral
dubai health author reveal list six differ categori individu wont abl rece… ,0.0,0.0,1.0,0.0,Neutral
infograph covaxin vs oxfordvaccin vs pfizerbiontech vs moderna  top  vaccin compare… ,0.153,0.0,0.847,0.2023,Positive
mexican author said studi case  femal doctor hospit recei… ,0.0,0.0,1.0,0.0,Neutral
mexican author said studi case  femal doctor hospit recei… ,0.0,0.0,1.0,0.0,Neutral
vaccin take scientist warn direct compar efficaci vaccin eac… ,0.0,0.149,0.851,-0.1027,Negative
dr marc siegel covid vaccin increas rapid — greatest accomplish vaccin histori  fox news ⁦… ,0.368,0.0,0.632,0.7906,Positive
breakinggratitude🙇pf biontech speed timelin offer  vaccin placebo volunteerswiki… ,0.0,0.0,1.0,0.0,Neutral
unfortun got infect time first appoint final receiv covidvaccin today… ,0.0,0.0,1.0,0.0,Neutral
martinmcke jmpsimor agre regard astrazeneca vaccin studi beyond  day which… ,0.0,0.0,1.0,0.0,Neutral
 dose pfizerbiontech covidvaccin done side effect almost  hour later let immun begin th… ,0.0,0.0,1.0,0.0,Neutral
 anybodi believ covid real  know famili four wipe th… ,0.0,0.0,1.0,0.0,Neutral
highwiretalk here one canadath woman actual die amp reviv cprpfizerbiontech ,0.0,0.302,0.698,-0.5994,Negative
skynew … ,0.0,0.0,1.0,0.0,Neutral
countri approv pfizerbiontech  vaccine🇺🇸 unit states🇨🇦 canada🇲🇽 mexico🇮🇱 israel… ,0.0,0.0,1.0,0.0,Neutral
vaccin  got first dose pfizerbiontech vaccin,0.0,0.0,1.0,0.0,Neutral
astound behind scene film pfizer vaccin may incred effect take  pharmacist  min… ,0.197,0.0,0.803,0.4019,Positive
 omg congratul 😷 vaccin pfizerbiontech 💉,0.0,0.0,1.0,0.0,Neutral
deliveri pfizerbiontech vaccin continu week basi full order  million expe… ,0.0,0.0,1.0,0.0,Neutral
day second dose pfizerbiontech covidvaccin feel bit rough defo hungov time guess tha… ,0.0,0.0,1.0,0.0,Neutral
thank plymouthcc uhpnh offer children social care staff pfizerbiontech vaccin wee… ,0.388,0.0,0.612,0.6908,Positive
truli emot momentit look simpl one littl jabbut heart full gratitud scientist… ,0.0,0.0,1.0,0.0,Neutral
yes limit factor would make break  gradual get better anoth … ,0.412,0.0,0.588,0.6808,Positive
borisjohnson  week vaccin gap challeng biontech pfizer  pfizerbiontech toryshambl ,0.0,0.0,1.0,0.0,Neutral
panamawindsock  adriandix believ issu pfizerbiontech vaccin requir ultra… ,0.0,0.0,1.0,0.0,Neutral
best way start week new year 😷💪🏻🙏🏻 🦠💉 vaccin secondshot jefferson thankful… ,0.276,0.0,0.724,0.6369,Positive
surpris shock doctor wont get  concern lack data and… ,0.17,0.225,0.605,-0.1625,Negative
pfizerbiontech warn evid joint develop vaccin continu protect aga… ,0.236,0.127,0.636,0.296,Positive
pfizerbiontech offer suppli southafrica  vaccin discount dose yet president'… ,0.0,0.0,1.0,0.0,Neutral
scienc nerd check studi publish nejm effect  vaccine… ,0.0,0.239,0.761,-0.296,Negative
happi receiv  pfizerbiontech  covid vaccin afternoon realli great start  mani th… ,0.291,0.0,0.709,0.6249,Positive
data demonstr protect  vaccin sustain beyond  day first dose… ,0.245,0.0,0.755,0.3818,Positive
oxfordastrazeneca moderna pfizerbiontech novavax johnson amp johnson time includ kid age  v… ,0.0,0.0,1.0,0.0,Neutral
oxfordastrazeneca moderna pfizerbiontech novavax johnson amp johnson time includ kid age  v… ,0.0,0.0,1.0,0.0,Neutral
world health organ approv pfizerbiontech vaccin  emerg use pave way lower a… ,0.0,0.167,0.833,-0.296,Negative
molecular differ  pfizerbiontech  vaccin moderna one powerdnsbert,0.0,0.0,1.0,0.0,Neutral
someon  take vaccin journey receiv pfizerbiontech vaccin in… ,0.0,0.0,1.0,0.0,Neutral
oxfordastrazeneca vaccin administ first peopl uk todaythi second vacci… ,0.0,0.0,1.0,0.0,Neutral
five peopl ontario get second dose pfizerbiontech vaccin cours it great p… ,0.272,0.0,0.728,0.6249,Positive
thank receiv first dose  pfizerbiontech vaccin ,0.333,0.0,0.667,0.3612,Positive
thank   team rotherhamnhsft i'v  pfizerbiontech vac… ,0.333,0.0,0.667,0.3612,Positive
iran record  daili confirm case  iran astrazeneca nationallockdown pfizerbiontech … ,0.0,0.0,1.0,0.0,Neutral
 vaccin becom avail american less interest get vaccin … ,0.279,0.0,0.721,0.4033,Positive
pfizer anyth say uk decid second dose need administ covidvaccin pfizerbiontech,0.0,0.0,1.0,0.0,Neutral
ok here main worri covid vaccinewil get sticker brave boyvaccinations… ,0.412,0.0,0.588,0.6808,Positive
famili grate opportun vaccin pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
start  posit note run  play tenni daili kid prepar fortun grate ar… ,0.179,0.0,0.821,0.34,Positive
ministri seek view independ vaccin commiss whether delay second shot beyond… ,0.0,0.187,0.813,-0.3182,Negative
 ⛔ hamilton psw suffer rare sever reaction  vaccin   year old⛔ psw suffer seiz… ,0.0,0.412,0.588,-0.7906,Negative
christma holiday ⁦tracyallarducp⁩  pfizerbiontech minist v… ,0.351,0.0,0.649,0.4019,Positive
israel alreadi inject pfizerbiontech vaccin  percent popul pfizervaccine… ,0.0,0.0,1.0,0.0,Neutral
franc  concentr first old vaccin  end jangermani  alre… ,0.0,0.0,1.0,0.0,Neutral
 pfizerbiontech vaccin categori exclud get jab dubai dubai heath author… ,0.0,0.0,1.0,0.0,Neutral
vaccinationsdon europ today  pfizerbiontechvaccin produc belgium select countries… ,0.0,0.0,1.0,0.0,Neutral
famili love one futur patient great start new year vaccin pfizerbiontech ,0.48,0.0,0.52,0.8519,Positive
virsanghvi hey phase  trail even covishield happen india neither uk regulatori publish it… ,0.0,0.0,1.0,0.0,Neutral
 hr go covidvacccin  pfizerbiontech  booster shot rememb put vaccin card backpac… ,0.0,0.0,1.0,0.0,Neutral
tiffani dover bob tiffanydov whereistiffanydov pfizer pfizervaccin pfizerbiontech biontech… ,0.0,0.0,1.0,0.0,Neutral
isra health minist earlier vaccinestrategi  target hit  popul want  late… ,0.126,0.0,0.874,0.0772,Positive
pm still blame manufactur pfizerbiontech  vaccin uk abl vaccin million o… ,0.0,0.194,0.806,-0.34,Negative
teensthack bharatbiotech instead throw sort logic cant bharatbiotech share trial data amp get… ,0.0,0.136,0.864,-0.2235,Negative
wonder oxfordvaccin work mechan action differ pfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
sir john bell regius professor medicin oxfordunivers said superinfecti south african… ,0.0,0.0,1.0,0.0,Neutral
iran record  daili confirm case  iran astrazeneca nationallockdown pfizerbiontech … ,0.0,0.0,1.0,0.0,Neutral
african countri collabor financ research develop  vaccin rather th… ,0.0,0.0,1.0,0.0,Neutral
anoth  dose pfizerbiontech coronavirus vaccin arriv poland monday morn head o… ,0.0,0.0,1.0,0.0,Neutral
major general talal belhoul al falasi directorgener state secur depart dubai receiv  sho… ,0.0,0.0,1.0,0.0,Neutral
close confidant india corpor leadership goto guy gulf banker anshumanmishra said… ,0.0,0.0,1.0,0.0,Neutral
gopbarbi goprabi  sionismus kkkellylöffn nazidescend  encefalomielosi vírica of… ,0.0,0.0,1.0,0.0,Neutral
 war begin iran usa coronavirus raptur vaccinestrategi oxforduniversity… ,0.0,0.358,0.642,-0.5994,Negative
irancoronavirus death toll ’s red crescent announc ban … ,0.0,0.556,0.444,-0.8176,Negative
khamenei red crescent announc ban import  pfizerbiontech vaccines… ,0.0,0.34,0.66,-0.5574,Negative
antonioguterr iran khamenei ban purchas pfizerbiontech  covidvaccin a… ,0.0,0.34,0.66,-0.5574,Negative
maryamrajaviirankhamenei red crescent announc ban import  pfizerbiontech vaccinesth… ,0.0,0.34,0.66,-0.5574,Negative
decemb   total  first dose pfizerbiontech  vaccin administered… ,0.0,0.0,1.0,0.0,Neutral
it v day 🥳🍾🍾🍾pfizerbiontech vaccin nhs ,0.0,0.0,1.0,0.0,Neutral
pfizer first vaccin approv mani countri mass inoculationwho… ,0.0,0.0,1.0,0.0,Neutral
second shot done ✅ time got button prove covidvaccin vaccinessavel maskssavelives… ,0.0,0.0,1.0,0.0,Neutral
acweyand thank read last pfizerbiontech paper say data hivposit patient b… ,0.2,0.0,0.8,0.3612,Positive
happen today  volunt get pfizer  vaccin nottodayrona vaccin … ,0.0,0.0,1.0,0.0,Neutral
pfizerbiontech vaccin dose  done arm sore got vaccin 😁 got believ science… ,0.0,0.2,0.8,-0.3612,Negative
pfizerbiontech covidvaccin receiv today gsttnhs feel 💯 grate opportun to… ,0.0,0.0,1.0,0.0,Neutral
got booster pfizerbiontech vaccin know i'm go still wear mask outsid w… ,0.0,0.0,1.0,0.0,Neutral
drakchaurasia fionamul faridjalali  hi franc way pfizerbiontech arnm… ,0.0,0.0,1.0,0.0,Neutral
proud say involv prepar pfizer  biontech pfizerbiontech vaccin today… ,0.279,0.0,0.721,0.4767,Positive
pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
kitchen staff work get vaccin soon pfizerbiontech vaccin,0.0,0.0,1.0,0.0,Neutral
 rtenewsaton understood pfizer site grang castl use test batch the… ,0.0,0.0,1.0,0.0,Neutral
need expert uk cretin borisjohnson amp two pseudo scientificmed nod sycoph so… ,0.0,0.0,1.0,0.0,Neutral
updat im  hour post  dose amp ive experienc side effect interest iv… ,0.214,0.0,0.786,0.4588,Positive
got first dose  vaccin thank sciencemedicin thank pfizer keep conspiraci theories… ,0.357,0.0,0.643,0.6124,Positive
peopl react laud saudimoh khaledalmaeena pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
world health organis  tuesday said  patient given two dose the… ,0.0,0.0,1.0,0.0,Neutral
interest data number vaccin age group   coronavirus… ,0.462,0.0,0.538,0.5106,Positive
 patient take two dose pfizerbiontech vaccin within period  day world he… ,0.0,0.0,1.0,0.0,Neutral
bloomberg eu seek  million pfizerbiontech  vaccinepfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
 brookbaypir dont worri germani get  vaccin eu order singl dose… ,0.0,0.0,1.0,0.0,Neutral
thank get covid vaccin today impress organis effici vaccin te… ,0.403,0.0,0.597,0.6597,Positive
longisland resid sandralindsay  person receiv pfizerbiontech vaccin countri receives… ,0.0,0.0,1.0,0.0,Neutral
aninnwithnonam jennyflow scientif bodi wordplay leav impress scienc behin… ,0.266,0.0,0.734,0.4404,Positive
system go uhwwaterford afternoon front line staff receiv pfizerbiontech vaccin   reg… ,0.0,0.0,1.0,0.0,Neutral
bopanc eucommiss get number wrong document concern pfizerbiontech caus lot confus… ,0.097,0.231,0.672,-0.4215,Negative
numbernul suppli pfizerbiontech vaccin readi go ,0.0,0.0,1.0,0.0,Neutral
deceas father abilo acevedo told portuges daili correio da manha okay hadnt health… ,0.137,0.0,0.863,0.2263,Positive
tri understand mrna vaccin work recommend interest paper topic… ,0.44,0.0,0.56,0.6705,Positive
justin pressconf q bbcnew  instead  dose pfizerbiontech vaccin given dur… ,0.0,0.0,1.0,0.0,Neutral
realli start question evolut much stupid within human  covidiot coviddenier… ,0.0,0.274,0.726,-0.5267,Negative
 dose pfizervaccin within  day borisjohnson   dose within  week trust … ,0.292,0.0,0.708,0.5106,Positive
borisjohnson uksciencechief whitti dhscgovuk pleas note pfizer say pfizerbiontech vaccin must administe… ,0.0,0.0,1.0,0.0,Neutral
deliveri pfizerbiontech vaccin present mani logist challeng continu the… ,0.0,0.0,1.0,0.0,Neutral
inocul second dose pfizercovidvaccin  pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
two dose even better one  grate  pfizerbiontech amp⁦ tulsahealthdept⁩ ⁦… ,0.244,0.0,0.756,0.4404,Positive
i'm fulli vaccin 🙌🏼💉🦠 ever thank pfizer covidvaccin pfizerbiontech vaccin vaccin ,0.2,0.0,0.8,0.3612,Positive
whitti dhscgovuk full scientif evid pfizerbiontech vaccin space b… ,0.0,0.0,1.0,0.0,Neutral
break independ advisori group sage advis two dose pfizerbiontech vaccin     day… ,0.0,0.0,1.0,0.0,Neutral
whitti seem turncoat bit big problem pfizerbiontech vaccin uk cold sto… ,0.0,0.213,0.787,-0.4019,Negative
fight   everi way possibl pfizerbiontech  whippscrosshosp ,0.0,0.342,0.658,-0.3818,Negative
got  dose pfizer biontech vaccin today thank scienc brought us point… ,0.2,0.0,0.8,0.3612,Positive
final hap grate first dose pfizerbiontech covid vaccin … ,0.0,0.0,1.0,0.0,Neutral
offici member pfizerbiontech club pfizervaccin  covidvaccin ,0.0,0.0,1.0,0.0,Neutral
it exact week sinc got covidvaccin pfizerbiontech i'm still aliv without side eff… ,0.0,0.0,1.0,0.0,Neutral
manag get mum secondvaccin win haunt vision countri run  year ol… ,0.352,0.164,0.485,0.4767,Positive
fulli microchip  covidvaccin  pfizervaccin pfizerbiontech pfizercovidvaccin itu ,0.0,0.0,1.0,0.0,Neutral
happiest i'v ever microchip 🎊🍾 grate earli round pfizerbiontech vacc… ,0.318,0.0,0.682,0.6369,Positive
first dose 💉✔️ pfizerbiontech,0.0,0.0,1.0,0.0,Neutral
runnerosborn mani dose pfizerbiontech vaccin guy deliv uk t… ,0.0,0.0,1.0,0.0,Neutral
shot  pfizerbiontech covidvaccin near  dose uihealthcar far stand mini c… ,0.0,0.0,1.0,0.0,Neutral
lot uncertainti mexican pfizervaccin here good research summari for… ,0.266,0.0,0.734,0.4404,Positive
covid vaccin today even phobia needl easi get opportun please… ,0.0,0.224,0.776,-0.3818,Negative
appli emot pfizerbiontech base best evid support extend time be… ,0.551,0.0,0.449,0.8225,Positive
day  post second  feel good littl sore inject site similar first dos… ,0.188,0.162,0.649,0.1027,Positive
fell privileg receiv pfizerbiontech vaccin today huge congratul teams… ,0.223,0.0,0.777,0.3182,Positive
nstworld german firm biontech warn tuesday data back safeti efficaci delay s… ,0.0,0.27,0.73,-0.4019,Negative
someth moderna fine vaccin pfiz pfizerbiontech   nandtara ,0.231,0.0,0.769,0.2023,Positive
grate pfizerbiontech covidvaccin booster today osuwexm excit see mani friend c… ,0.242,0.0,0.758,0.4939,Positive
anyon studi classifi inform vaccin appli patient dx certain grade of… ,0.139,0.265,0.596,-0.4404,Negative
nstnation  urban area like receiv pfizerbiontech vaccin meanwhil rural areas… ,0.217,0.0,0.783,0.3612,Positive
pattygrac take pfizer vaccin beg pleas take 🙏🏽 beitbridg schoolreopen … ,0.0,0.0,1.0,0.0,Neutral
realli couldn't leav lot charg whelk stall ☹️  pfizerbiontech vaccin ,0.0,0.167,0.833,-0.2023,Negative
perfect summari left versus right theskimm  moderna pfizerbiontech ,0.346,0.0,0.654,0.5719,Positive
thank newcastlehosp greatnorthch provid smooth servic everyon immens pressur continu… ,0.217,0.0,0.783,0.3612,Positive
pfizer astrazenecauk tell us mani dose deliv uk hide someth is… ,0.0,0.145,0.855,-0.1779,Negative
vaccin start it time think go travel  eventprofs… ,0.0,0.0,1.0,0.0,Neutral
first covid vaccin nwboroughsnh  pfizerbiontech pfizercovidvaccin ,0.0,0.0,1.0,0.0,Neutral
monaalmarri mother receiv pfizerbiontech vaccin dubai tuesday director general dubai media… ,0.0,0.0,1.0,0.0,Neutral
infograph  covaxin vs oxfordvaccin vs pfizerbiontech vs moderna  top  vaccin compare… ,0.153,0.0,0.847,0.2023,Positive
nstnation malaysia  vaccin purchas contract price reveal detail parliam… ,0.0,0.0,1.0,0.0,Neutral
 vaccin actual increas fatal rate vaccin patient expos the… ,0.0,0.304,0.696,-0.5423,Negative
nstnation  urban area like receiv pfizerbiontech vaccin meanwhil rural areas… ,0.217,0.0,0.783,0.3612,Positive
good morn lockdown world pfizerbiontech cobrakai  vaccin ,0.326,0.0,0.674,0.4404,Positive
culmin amaz research process first day  ive receiv second pfizerbiontech vaccin,0.0,0.0,1.0,0.0,Neutral
rdehospit wait  covidvaccin feel good dptnhs nightingaleext thank nhs… ,0.435,0.0,0.565,0.6597,Positive
borisjohnson matthancock go protect frontlin polic offic continu work… ,0.245,0.0,0.755,0.3818,Positive
genuin question long protect last one inject covidvaccin oxfordastrazeneca pfizerbiontech,0.224,0.0,0.776,0.3818,Positive
  themdu doctorkati drkasaraneni helenrsalisburi suelaceybry nhsengland heetel… ,0.0,0.0,1.0,0.0,Neutral
one step closer normal grate who'v made possibl hseliv stjamesdublin… ,0.0,0.0,1.0,0.0,Neutral
mona ghanem almarri malmarri directorgener dxbmediaoffic mother receiv  shot of… ,0.0,0.0,1.0,0.0,Neutral
guess arrivedpfizerbiontech pizza box 🍕 number  drmandipthiara drinnavf… ,0.178,0.0,0.822,0.0772,Positive
nstnation public account committe satisfi clarif given govern repres on… ,0.0,0.0,1.0,0.0,Neutral
 think slow approv allow hedg fund stockhold fa… ,0.213,0.0,0.787,0.2263,Positive
portug nurs die day get pfizer  vaccineportug porto  coronavirus… ,0.0,0.328,0.672,-0.5994,Negative
suggest vaccin drive uk go slow steadi elder hight risk valnur peopl includ bame… ,0.0,0.139,0.861,-0.2732,Negative
jordan order one million dose usgerman pfizerbiontech coronavirus vaccin first deliveri of… ,0.0,0.0,1.0,0.0,Neutral
 artfuldoctor nikkikf drhannahmorgan drsdeg petedeveson drmdsmith  rcgp great re… ,0.339,0.0,0.661,0.6249,Positive
covidvaccin covidvaccin comparison end deca sidebysid comparison pfizerbiontech moderna v… ,0.0,0.0,1.0,0.0,Neutral
teach moral learn moral live moral moral practic wouldnt damagecontrol and… ,0.0,0.0,1.0,0.0,Neutral
consent form patient attend  pfizerbiontech 💉 explain boosters💉💉 wait for… ,0.192,0.0,0.808,0.2263,Positive
qanta bring internationalflight uk us push back asiancountriesqantasflight airline… ,0.0,0.0,1.0,0.0,Neutral
part bring end mess closer super excit mrna biotechnolog promising… ,0.271,0.174,0.556,0.34,Positive
well twitter friend  hour ago receiv dose  pfizercovidvaccin  shot  minor arm soreness… ,0.346,0.0,0.654,0.6486,Positive
got first dose pfizerbiontech  vaccin today grate       🙏🏽🙏🏽🙏🏽… ,0.0,0.0,1.0,0.0,Neutral
happen tiffani dovertiffanydov  nurs collaps tv event chi… ,0.0,0.0,1.0,0.0,Neutral
 vaccin war covaxin maker bharat biotech adar safe like water remarkcovishield pfizer … ,0.295,0.213,0.492,0.128,Positive
delay vaccin rollout doctor debat option get peopl vaccin two half dose or… ,0.0,0.161,0.839,-0.3182,Negative
what thought drop commenttuesday cartoon vaccin  bharatbiotech pfizerbiontech… ,0.0,0.231,0.769,-0.2732,Negative
pediatr surgeri assist porto portug found dead bed day take pfizer biontec vaccin  c… ,0.0,0.249,0.751,-0.6486,Negative
adriandix doesn't matter mani vaccin get push  dose outsid paramet that… ,0.0,0.097,0.903,-0.0191,Neutral
anyon research covid vaccin breastmilk look studi particip 🙋‍♀️ i'm canada pleas… ,0.0,0.0,1.0,0.0,Neutral
 tell us happen nigeria biontechgroup dont believ pfizer biontech vaccin will… ,0.0,0.0,1.0,0.0,Neutral
bcgovnew jjhorgan  push  dose vaccin  day ostens protect peop… ,0.245,0.0,0.755,0.3818,Positive
ronaldnhugh  bonni henri push  dose pfizerbiontech vaccin  day pote… ,0.0,0.0,1.0,0.0,Neutral
pfizerbiontech isnt fda approv alter dna bioweapon virus pcr test arent design t… ,0.0,0.0,1.0,0.0,Neutral
justintrudeau adriandix jjhorgan govern bc will risk peopl health million dol… ,0.0,0.174,0.826,-0.2732,Negative
 british columbia defi pharmaceut compani recommend vaccines… ,0.294,0.0,0.706,0.3612,Positive
anoth fatal pfizerbiontech ,0.0,0.636,0.364,-0.5423,Negative
grate get second pfizerbiontech vaccin may toler side effect excit protect… ,0.0,0.0,1.0,0.0,Neutral
igottheshot pfizerbiontech covid vaccin dose  done feel today relief protection… ,0.256,0.0,0.744,0.4767,Positive
 peopl bc vaccin pfizerbiontech vaccin  moderna vaccin accord t… ,0.0,0.0,1.0,0.0,Neutral
portugues health worker die two day get pfizer covid vaccin   sonia acev… ,0.0,0.262,0.738,-0.5994,Negative
i'm pretti excit receiv covid vaccin today it impress think less year h… ,0.195,0.0,0.805,0.4404,Positive
pharmaceut compani victim  pfizerbiontech astrazeneca moderna   covid,0.0,0.259,0.741,-0.2732,Negative
nashvill nurs injur covid vaccin bell palsi issu warn videocybershell… ,0.0,0.135,0.865,-0.1027,Negative
vaccin covid thank pfizer pfizerbiontech  nhs,0.333,0.0,0.667,0.3612,Positive
sidebysid comparison pfizerbiontech moderna vaccinesth stori helenbranswel statnews… ,0.0,0.0,1.0,0.0,Neutral
newschamb ginandgriddl count vaccin first jab you'v sec… ,0.0,0.0,1.0,0.0,Neutral
shimself that due pfizerbiontech astrazeneca vaccin approv quicker mhra uk… ,0.0,0.0,1.0,0.0,Neutral
 dosepfizerbiontech  vaccin ,0.0,0.0,1.0,0.0,Neutral
cmoengland  patient take rivaroxaban safe receiv pfizerbiontech oxfordastrazeneca vaccin,0.266,0.0,0.734,0.4404,Positive
don't suffer alon help you'r alon i'd rather hear problem obituary… ,0.18,0.314,0.506,-0.2751,Negative
skynew dead right betti pfizerbiontech,0.0,0.518,0.482,-0.6486,Negative
thank get  vaccin today protect famili friend futur patient grate for… ,0.509,0.0,0.491,0.8074,Positive
cross one resolut list impress ochsnerhealth workflow whole thing t… ,0.244,0.0,0.756,0.4404,Positive
anyon actual answer eight week delay affect pfizer biontech vaccin effica… ,0.0,0.187,0.813,-0.3182,Negative
get oxford astrazeneca vaccin  week window two booster receiv booste… ,0.0,0.0,1.0,0.0,Neutral
pfizer would possibl let turkish peopl know clear inform mani biontechpf vaccin dose yoı… ,0.167,0.0,0.833,0.3818,Positive
delight receiv second vaccin today 👏🏻 pfizerbiontech  ,0.394,0.0,0.606,0.5994,Positive
khamenei red crescent announc ban import  pfizerbiontech vaccines… ,0.0,0.34,0.66,-0.5574,Negative
antonioguterr iran khamenei ban purchas pfizerbiontech  covidvaccin a… ,0.0,0.34,0.66,-0.5574,Negative
maryamrajaviirankhamenei red crescent announc ban import  pfizerbiontech vaccinesthi… ,0.0,0.34,0.66,-0.5574,Negative
 die hour covidvaccin  doctor stress serious ill pfizer… ,0.0,0.73,0.27,-0.8689,Negative
